Date,Type,Fund,Campaign,Appeal,Zip,Account Number,Quarter,DayOfWeek,Season,Proximity to Holiday,5 Day Window Type Mode,5 Day Window Appeal Mode,5 Day Window Campaign Mode,5 Day Window Fund Mode,5_Day_Window_Count
2024-09-25,Donation,Unrestricted,Support The River,Individual Online,53704.0,2574,3,2,4,7,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,7
2024-09-25,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53590.0,2692,3,2,4,7,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,7
2024-09-24,Donation,Unrestricted,Support The River,Individual Multi Channel,53590.0,313,3,1,4,8,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,8
2024-09-24,Donation,Unrestricted,Support The River,Individual Online,53715.0,20745,3,1,4,8,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,8
2024-09-24,Donation,Unrestricted,Support The River,Individual Multi Channel,53703.0,310,3,1,4,8,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,8
2024-09-24,Donation,Unrestricted,Support The River,Individual Multi Channel,53705.0,309,3,1,4,8,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,8
2024-09-24,Donation,Unrestricted,Support The River,Individual Multi Channel,53705.0,312,3,1,4,8,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,8
2024-09-22,Donation,Unrestricted,Support The River,Individual Online,53716.0,5756,3,6,4,10,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,40
2024-09-21,Donation,Unrestricted,Support The River,Individual Online,53716.0,19400,3,5,4,11,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,40
2024-09-21,Donation,Unrestricted,Support The River,Individual Online,53719.0,20438,3,5,4,11,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,40
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53711.0,229,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53704.0,1888,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53703.0,737,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53558.0,539,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53704.0,2524,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53590.0,1869,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53704.0,1888,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53704.0,1047,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53705.0,6,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53531.0,249,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53593.0,7903,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53704.0,2646,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53704.0,3006,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53562.0,74,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53705.0,57,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53597.0,19299,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53718.0,79,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53717.0,19178,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53704.0,5497,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53703.0,19692,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Donation,Unrestricted,Support The River,Individual Multi Channel,53704.0,2492,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Donation,Unrestricted,Support The River,Individual Multi Channel,53527.0,674,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Donation,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Mailing,53704.0,1924,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Donation,Unrestricted,Support The River,Individual Multi Channel,53704.0,4419,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53716.0,3568,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53704.0,20026,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53597.0,9719,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53717.0,19178,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53949.0,15606,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53714.0,637,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53590.0,5002,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-20,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53718.0,15429,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
2024-09-19,Donation,Unrestricted,Support The River,Individual Multi Channel,53532.0,20744,3,3,4,13,Donation,Individual Event,2024 Sips & Slices,Unrestricted,45
2024-09-19,Donation,Unrestricted,Support The River,Individual Multi Channel,53704.0,677,3,3,4,13,Donation,Individual Event,2024 Sips & Slices,Unrestricted,45
2024-09-19,Donation,Unrestricted,Support The River,Business Multi Channel,53705.0,14420,3,3,4,13,Donation,Individual Event,2024 Sips & Slices,Unrestricted,45
2024-09-19,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53072.0,20310,3,3,4,13,Donation,Individual Event,2024 Sips & Slices,Unrestricted,45
2024-09-19,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53072.0,20310,3,3,4,13,Donation,Individual Event,2024 Sips & Slices,Unrestricted,45
2024-09-18,Donation,Unrestricted,Support The River,Individual Online,53703.0,20138,3,2,4,14,Donation,Individual Event,2024 Sips & Slices,Unrestricted,86
2024-09-18,Donation,Unrestricted,In-Kind,Individual Multi Channel,53711.0,2401,3,2,4,14,Donation,Individual Event,2024 Sips & Slices,Unrestricted,86
2024-09-18,Soft Credit,Unrestricted,Support The River,Individual Multi Channel,53711.0,724,3,2,4,14,Donation,Individual Event,2024 Sips & Slices,Unrestricted,86
2024-09-18,Donation,Unrestricted,Support The River,Individual Multi Channel,53705.0,20084,3,2,4,14,Donation,Individual Event,2024 Sips & Slices,Unrestricted,86
2024-09-17,Donation,Unrestricted,Support The River,Individual Online,53713.0,20422,3,1,4,15,Donation,Individual Event,2024 Sips & Slices,Unrestricted,169
2024-09-17,Donation,Unrestricted,Support The River,Individual Online,53711.0,15038,3,1,4,15,Donation,Individual Event,2024 Sips & Slices,Unrestricted,169
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53704.0,448,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,55346.0,437,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53597.0,451,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Business Multi Channel,53704.0,3710,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53704.0,474,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53593.0,445,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53705.0,457,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53704.0,506,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53705.0,508,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53704.0,484,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53704.0,483,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53704.0,470,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53705.0,434,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53711.0,493,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53704.0,481,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53704.0,497,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53704.0,20298,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53704.0,477,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53704.0,444,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53704.0,430,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53593.0,438,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53562.0,467,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53704.0,431,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53711.0,487,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53532.0,1855,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53704.0,480,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53705.0,624,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53593.0,2029,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53597.0,28,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53705.0,4,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53703.0,482,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
2024-09-16,Donation,Unrestricted,Support The River,Individual Multi Channel,53589.0,471,3,0,4,16,Donation,Individual Event,2024 Sips & Slices,Unrestricted,170
