Date,Amount,Normalized Amount,Type,Fund,Campaign,Appeal,Primary ZIP Code,Account Number,Total Donation,Num Months,Average Monthly Donation
6/10/2024,3000000,0.137185538,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Gov Application,Unknown,20113,15722436.67,21,748687.4605
3/12/2024,1500000,0.068592769,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Gov Application,53703-3340,1910,15722436.67,21,748687.4605
8/21/2023,1500000,0.068592769,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Gov Application,53703-3340,1910,15722436.67,21,748687.4605
7/27/2023,1012500,0.046300119,Donation,Unrestricted,In-Kind,Business Multi Channel,10003-2001,10511,1331842.88,20,66592.144
5/2/2024,660000,0.030180818,Pledge,Unrestricted,Support The River,Foundation Application,98103,13936,4151322.47,21,197682.0224
5/15/2024,500000,0.022864256,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Foundation Multi Channel,53744-5138,6931,15722436.67,21,748687.4605
1/26/2024,500000,0.022864256,Donation,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Business Multi Channel,Unknown,19606,15722436.67,21,748687.4605
12/13/2023,500000,0.022864256,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Foundation Application,53562,19174,15722436.67,21,748687.4605
5/17/2023,500000,0.022864256,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53704-1015,408,15722436.67,21,748687.4605
6/10/2024,400000,0.018291405,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Gov Application,Unknown,20115,15722436.67,21,748687.4605
12/29/2023,400000,0.018291405,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53714-2232,3546,15722436.67,21,748687.4605
6/4/2024,250000,0.011432128,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Foundation Application,53783-0001,2596,15722436.67,21,748687.4605
5/15/2024,250000,0.011432128,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Foundation Multi Channel,53744-5138,6931,15722436.67,21,748687.4605
