Date,Type,Fund,Campaign,Appeal,Zip,Account Number,Quarter,DayOfWeek,Season,Proximity to Holiday,5 Day Window Type Mode,5 Day Window Appeal Mode,5 Day Window Campaign Mode,5 Day Window Fund Mode,5_Day_Window_Count
9/25/2024,Donation,Unrestricted,Support The River,Individual Online,53704,2574,3,2,4,7,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,7
9/25/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53590,2692,3,2,4,7,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,7
9/24/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53590,313,3,1,4,8,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,8
9/24/2024,Donation,Unrestricted,Support The River,Individual Online,53715,20745,3,1,4,8,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,8
9/24/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53703,310,3,1,4,8,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,8
9/24/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53705,309,3,1,4,8,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,8
9/24/2024,Donation,Unrestricted,Support The River,Individual Multi Channel,53705,312,3,1,4,8,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,8
9/22/2024,Donation,Unrestricted,Support The River,Individual Online,53716,5756,3,6,4,10,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,40
9/21/2024,Donation,Unrestricted,Support The River,Individual Online,53716,19400,3,5,4,11,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,40
9/21/2024,Donation,Unrestricted,Support The River,Individual Online,53719,20438,3,5,4,11,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,40
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53711,229,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53704,1888,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53703,737,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53558,539,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53704,2524,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53590,1869,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53704,1888,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53704,1047,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53705,6,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53531,249,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53593,7903,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53704,2646,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53704,3006,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53562,74,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53705,57,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53597,19299,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
9/20/2024,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53718,79,3,4,4,12,Recurring Donation Payment,Individual Online,Support The River,Unrestricted,44
